연번,과정명,기수,구분,주제,기획설명,활용데이터,활용기술,깃허브 주소
399,SK네트웍스 Family AI 캠프,17,교과목실습3,"청년과 신혼부부가 주택청약 공고, 매물, 대출정보, 주거지원정책을 맞춤형으로 확인할 수 있도록 돕는 RAG 기반 주택청약 챗봇 프로젝트","청약 관련 정보가 국토교통부, SH/LH, 지자체 등 여러 사이트에 흩어져 있고 자격 확인부터 신청, 당첨 확인, 대출 및 입주 절차까지 복잡해 사용자가 본인 조건에 맞는 정보를 찾기 어렵다는 문제를 해결하려는 프로젝트입니다. RAG를 활용해 벡터DB와 한국어 특화 LLM을 연동하고, 정책 문서·FAQ·공고문에서 근거를 검색해 맞춤형 답변을 제공하는 통합형 챗봇 서비스를 구현합니다. 사용자와의 대화 메모리를 바탕으로 개인 조건에 적합한 공고, 청약 매물, 주거지원정책, 대출 상품 정보를 지원하는 것을 목표로 합니다.","한국토지주택공사(LH) 주택청약 공고문 및 공급주택목록, 주택도시기금 대출정보","Python, OpenAI Embedding, Chroma DB, Ollama, LangChain, Streamlit, Git, GitHub, Notion, Google Drive, RAG, EEVE-Korean-Instruct-10.8B-v1.0-Q5_K_M.gguf, SemanticChunker, RecursiveSplitter",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-3rd-2Team
400,SK네트웍스 Family AI 캠프,17,교과목실습3,사용자의 여행 상황과 취향에 맞춰 국내 관광지 정보와 여행 코스를 추천하는 관광 챗봇 개발 프로젝트입니다.,"이 프로젝트는 관광 챗봇의 할루시네이션 문제와 지도·블로그·유튜브 등에 의존해야 하는 관광지 검색의 불편함을 해결하려고 합니다. 사용자가 누구와 함께, 어떤 방식으로, 어디로 여행하고 싶은지 등을 질문하면 관광지나 여행 코스를 추천하고 설명을 제공하는 챗봇을 구현하는 것을 목표로 합니다. 1차 목표는 할루시네이션이 없는 관광지 챗봇 구현이며, 이후 이용자의 취향과 상황을 반영한 코스 구성과 실제 방문 경험에 가까운 설명 제공을 목표로 합니다.",대한민국 구석구석 웹 크롤링 관광지 정보 및 리뷰 데이터,"Python, VS Code, Google Colab, RunPod, FAISS, LangChain, Streamlit, GitHub, Git, Discord, SentenceTransformer(all-MiniLM-L6-v2), Trillion-7B-Preview, RAG, Hugging Face, SelfQueryRetriever, RecursiveCharacterTextSplitter",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-3rd-3Team
401,SK네트웍스 Family AI 캠프,17,교과목실습3,육아·보육 관련 내외부 문서를 RAG 방식으로 검색해 신뢰성 있는 답변을 제공하는 육아 질의응답 챗봇 프로젝트입니다.,"온라인에 산재한 부정확하거나 상업적인 육아 정보로 인해 부모와 교사가 신뢰할 수 있는 정보를 찾기 어렵다는 문제를 해결하려 합니다. 학술 논문, 공공기관 가이드, 커뮤니티 데이터 등을 전처리하고 FAISS 기반 벡터 검색과 LLM을 연동해 발달 단계, 건강 관리, 안전 지침 등 육아·보육 정보를 제공합니다. 직접 파인튜닝 대신 RAG 구조를 적용하여 검색된 문서 컨텍스트 기반의 답변과 출처 제공을 목표로 합니다.","학술 논문 PDF, 중앙육아종합지원센터·아리누리 보육 가이드라인 PDF, 맘카페·아이사랑 커뮤니티 데이터 TXT","Python 3.10+, Streamlit, Jupyter Notebook, PyTorch, Hugging Face, bitsandbytes, FAISS, LangChain, Regex, Kakao API, HIRA API, PyPDFLoader, RecursiveCharacterTextSplitter, SemanticChunker, OpenAI 임베딩, RAG, QLoRA, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-3rd-4Team
402,SK네트웍스 Family AI 캠프,17,교과목실습3,운전 중 돌발 상황에 대해 LLM과 RAG를 활용해 대처 가이드와 관련 교통 법규 근거를 제공하는 질의응답 챗봇 프로젝트,"A.D.A는 자동차 고장, 사고, 악천후 등 주행 중 발생할 수 있는 돌발 상황에서 운전자가 대처 방법을 알기 어려운 문제를 해결하기 위한 LLM 기반 교통 어시스턴트입니다. 사용자가 음성 또는 텍스트로 질문하면 사례 데이터 기반 대응 방법과 관련 법규 조항을 함께 제공하는 RAG 기반 답변 생성을 핵심 기능으로 합니다. 프로젝트는 운전자에게 즉각적인 가이드라인을 제공하고 공식 법률 및 시행령을 쉽게 확인할 수 있도록 하는 것을 목표로 합니다.",한국도로교통공단 및 도로교통법 외 3개 법령 API 데이터,"Python, naver-hyperclovax/HyperCLOVAX-SEED-Text-Instruct-1.5B, naver-hyperclovax/HyperCLOVAX-SEED-Vision-Instruct-3B, LangChain, ChromaDB, nlpai-lab/KURE-v1, RunPod, PyTorch, Transformers, LoRA, Streamlit, Git, GitHub, Notion, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-3rd-5Team
403,SK네트웍스 Family AI 캠프,17,교과목실습3,현대·기아 GSW 정비 매뉴얼과 네이버 블로그·지식인 데이터를 활용해 차량 이상 증상의 원인과 정비 필요 여부를 안내하는 RAG 기반 자동차 고장 진단 챗봇 프로젝트입니다.,"차량 고장이나 이상 증상이 발생했을 때 일반 운전자가 정확한 원인과 정비소 방문 필요성을 판단하기 어렵다는 문제를 해결하려는 프로젝트입니다. 현대·기아 공식 GSW 문서와 블로그·지식인 크롤링 데이터를 기반으로 차량 증상에 대한 원인 진단, 점검 내용, 정비 필요 여부를 챗봇 형태로 안내합니다. 향후 다른 브랜드 차량 GSW와 포럼 데이터로 확장 가능한 방향성을 제시하고 있습니다.","현대/기아 GSW 정비 매뉴얼, 네이버 블로그 크롤링 데이터, 네이버 지식인 크롤링 데이터","Python, RunPod, Hugging Face, FAISS, Ollama, LangChain, Streamlit, dragonkue/snowflake-arctic-embed-l-v2.0-ko, heegyu/EEVE-Korean-Instruct-10.8B-v1.0-GGUF",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-3rd-6Team
404,SK네트웍스 Family AI 캠프,17,교과목실습4,사용자의 마케팅 기획안 PDF를 분석하고 스티브 잡스 페르소나 기반으로 마케팅 전략 컨설팅을 제공하는 AI 챗봇 프로젝트입니다.,"이 프로젝트는 기존 마케팅 컨설팅 서비스의 높은 비용, 획일적인 전략, 내부 자료 활용 미흡 문제를 해결하려는 목적을 가집니다. 사용자는 PDF 기획안을 업로드하고 질의응답 채팅을 통해 핵심 요약, 보완점 분석, 스티브 잡스 페르소나 기반의 전략 아이디어를 받을 수 있습니다. RAG 기술을 활용해 학술 자료 및 최신 데이터 기반 답변의 신뢰성과 정확성을 높이는 방향을 제시합니다.",,"Python, Django, Midm-2.0-Mini-Instruct, FAISS, OpenAI Embeddings, PyTorch, Transformers, LoRA, HTML5, CSS, JavaScript, RunPod, AWS EC2, Docker, Docker Compose, MySQL, Python-decouple, Git, GitHub, Notion, Google Drive, Pytest, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-4th-1Team
405,SK네트웍스 Family AI 캠프,17,교과목실습4,LLM을 연동해 청년과 신혼부부가 주택청약 관련 공식 문서와 공고문 기반 정보를 질의응답으로 확인할 수 있는 웹 챗봇 서비스입니다.,"주택청약 정보가 국토교통부, SH/LH, 지자체 등 여러 사이트에 흩어져 있고 절차와 자격 요건이 복잡해 사용자가 정보를 이해하고 준비하는 데 어려움이 있다는 문제를 해결하려는 프로젝트입니다. 공식 문서와 공고문 데이터를 기반으로 챗봇이 청약 절차, 공고, 주거지원정책 정보를 제공하며, 사용자 조건에 따라 맞춤형 공고와 매물, 주거지원정책 정보를 안내하는 것을 목표로 합니다.","국토교통부, LH·SH공사의 실제 공고문 및 정책 데이터","Python, VSCode, Docker, DockerHub, Chroma, OpenAI Embedding, Ollama, LangChain, AWS EC2, Django, Gunicorn, Nginx, RunPod, FastAI, MySQL, GitHub, Notion, HTML, CSS",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-4th-2Team
406,SK네트웍스 Family AI 캠프,17,교과목실습4,사용자의 여행 조건에 맞춰 관광지 정보와 여행 코스를 추천하고 설명하는 관광 챗봇 웹 서비스 개발 프로젝트,"이 프로젝트는 관광 챗봇의 할루시네이션 문제와 지도·블로그·유튜브 등에 의존해야 하는 관광지 검색의 불편을 문제로 제시합니다. 사용자가 누구와 함께, 어떤 방식으로, 어디로 여행하고 싶은지 등을 입력하면 챗봇이 그에 맞는 여행지 또는 코스를 추천하고 설명을 제공합니다. 목표는 챗봇 기획안을 바탕으로 웹 페이지를 구현하고 배포한 뒤, 배포한 웹 페이지에 챗봇을 연동하는 것입니다.",,"Python, VS Code, Colab, RunPod, FAISS, LangChain, Django, HTML5, CSS, JavaScript, Gunicorn, Nginx, Docker, Docker Compose, AWS EC2, MySQL, Hugging Face, GitHub, Git, Discord, FastAPI",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-4th-3Team
407,SK네트웍스 Family AI 캠프,17,교과목실습4,육아 정보를 챗봇 도담이를 통해 빠르게 질의응답 형태로 제공하는 경량 웹 서비스입니다.,"육아 정보가 분산되어 있어 즉시 접근이 어렵고, 긴급 상황에서 요약된 가이드가 필요하다는 문제를 해결하려는 프로젝트입니다. 핵심 기능은 자연어 질의에 대한 요약형 답변을 제공하는 도담이 챗봇, 출처/갱신일 표기, 최근 대화 .txt 저장, 이메일 로그인/회원가입, 홈 랜딩입니다. 프로젝트 목표는 챗봇을 통해 질문-답변을 빠르게 제공하고, 로그인/회원가입을 통해 개인화의 기본 토대를 마련하는 것입니다.",,"Python, HTML5, JavaScript, CSS, Docker, Docker Hub, Postman, FAISS, Hugging Face, bge-m3, Qwen2.5-7B, AWS, Django, Gunicorn, Nginx, RunPod, FastAPI, MySQL, VS Code, Notion, Figma, GitHub, Discord",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-4th-4Team
408,SK네트웍스 Family AI 캠프,17,교과목실습4,운전 중 돌발상황과 법규 혼란 상황에서 LLM 기반 보이스봇·챗봇으로 질의응답을 제공하는 주행 보조 웹페이지 개발 프로젝트,"자동차 고장·사고 상황에서 운전자가 당황해 2차 사고 위험이 커지고, 초보 운전자의 돌발 상황 대처 능력이 부족하다는 문제를 배경으로 한다. 핵심 기능은 내외부 문서 기반 질의응답, AI 보이스봇·챗봇, 회원정보 관리와 채팅 기능이다. 운전자가 상황별 맞춤형 음성 안내를 받아 신속하고 올바른 판단을 할 수 있도록 지원하고, 운전 중 불안감 해소와 사고 위험 감소를 목표로 한다.",,"HTML5, CSS3, JavaScript, Django, Gunicorn, Nginx, AWS RDS, Chroma, Python-dotenv, nlpai-lab/KURE-v1, HyperCLOVA X, PyTorch, Transformers, LoRA, LangChain, RunPod, Docker, AWS, Git, GitHub, Discord, Notion, Jupyter, VSCode",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-4th-5Team
409,SK네트웍스 Family AI 캠프,17,교과목실습4,현대/기아 GSW 정비 매뉴얼과 외부 문서 데이터를 기반으로 차량 이상 증상에 대한 정비 진단 및 대응 방안을 제공하는 RAG 기반 차량 정비 챗봇 프로젝트입니다.,"차량 고장이나 이상 증상이 발생했을 때 사용자가 정확한 원인을 파악하기 위해 인터넷 검색이나 서비스센터 방문에 시간과 노력을 들여야 하고, 문제의 심각도를 일반 운전자가 판단하기 어렵다는 문제를 해결하려 합니다. 사용자가 진동, 소음, 경고등 점등 등 이상 증상을 자연어로 질문하면 관련 문서를 기반으로 정비 진단 및 대응 방안을 제공하는 챗봇을 구현했습니다. 프로젝트는 정비소 방문 전 이상 현상의 원인을 파악하고, 현대/기아 공식 GSW 문서와 사용자 경험 데이터를 융합해 신뢰도 높은 안내를 제공하는 방향을 목표로 합니다.","현대/기아 GSW 정비 매뉴얼, Naver 블로그 및 지식인 크롤링 데이터","Python, JavaScript, SQL, HTML, CSS, Django, RunPod, AWS, Nginx, Docker, VS Code, Figma, Discord, GitHub, LLM, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-4th-6Team
410,SK네트웍스 Family AI 캠프,17,최종프로젝트,사용자 이미지와 자연어 요구사항을 바탕으로 헤어스타일을 추천하고 생성형 AI로 가상 피팅 이미지를 제공하는 대화형 AI 상담 시스템 구축 프로젝트입니다.,"기존 오프라인 퍼스널 헤어 컨설팅은 비용과 시간이 많이 들고, 온라인 AI 헤어스타일 서비스는 이미지 품질과 사용자가 직접 스타일 이미지를 찾아야 하는 번거로움이 문제로 제시되었습니다. 이 프로젝트는 이미지-언어 멀티모달 AI 모델을 활용해 얼굴형, 성별, 퍼스널 컬러를 분석하고 RAG 기반으로 헤어스타일을 추천하며, 상담 내용을 바탕으로 헤어스타일 시뮬레이션 이미지를 생성합니다. 또한 웹 검색 도구를 연동해 최근 유행하는 헤어스타일이나 트렌드 정보를 상담에 활용하는 방향을 제시합니다.",DuckDuckGo API를 통한 웹 검색 데이터,"RAG, OpenAI text-embedding-3-small, FAISS, LangChain, ChatGPT, gpt-5.2-chat-latest, OpenAI API, OpenAI gpt-image-1, SAFMN, Stone 라이브러리, IdentiFace, FaceCropper, FaceSwap, FaceLift, Gaussian Splatting, Multi-view Diffusion, DuckDuckGo API, RunnableWithMessageHistory",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-FINAL-1Team
411,SK네트웍스 Family AI 캠프,17,최종프로젝트,"회의 음성을 기반으로 STT, 화자 분리, 도메인 분석, 안건·태스크 추출, 캘린더 연동, 웹 회의록 생성을 자동화하는 AI 기반 회의 지원 시스템입니다.","회의 후 녹음 파일을 다시 들으며 회의록을 작성하는 과정에서 회의 시간이 추가로 소모되고 핵심 결정 사항이나 후속 조치가 누락될 수 있는 문제를 다룹니다. 실시간 녹음 또는 파일 업로드 음성을 STT와 화자 분리로 텍스트화하고, 도메인 용어 기반 RAG로 컨텍스트를 강화해 안건, 요약, 태스크를 구조화하여 추출합니다. 추출된 태스크는 Google Calendar와 연동하고, 웹 기반 표준 템플릿 회의록으로 생성·조회하는 방향을 제시합니다.",,"Nginx, Django, Gunicorn, Docker, AWS EC2, FastAPI, RunPod, OpenAI Whisper, pyannoteAI, Qwen, FAISS Vector DB, AWS S3, AWS RDS, MySQL, Google Calendar, RAG, BERT cosine, gpt-4o-mini",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-FINAL-2Team
412,SK네트웍스 Family AI 캠프,17,최종프로젝트,야구 입문자와 기존 시청자를 위해 편파 없는 AI 야구 해설과 쉬운 규칙·용어 설명을 제공하는 웹 기반 해설 서비스입니다.,"이 프로젝트는 어려운 야구 용어와 복잡한 규칙으로 인한 입문 장벽, 그리고 편파 중계나 낮은 해설 품질에 대한 불만을 문제로 제시합니다. 핵심 기능은 사용자가 텍스트 입력 또는 동영상 업로드를 통해 AI 해설을 제공받고, 야구 규칙·상식 설명과 해설위원 선택 기반 영상 시청을 지원하는 것입니다. 목표는 야구 입문자에게는 직관적인 설명을, 기존 시청자에게는 편파 없는 몰입도 높은 해설 경험을 제공하는 것입니다.",,"Python, Django, FastAPI, HTML5, CSS, JavaScript, KAKAOCORP/kanana-1.5-8b-instruct, Qwen/Qwen3-VL-4B-Instruct, Google Cloud Speech-to-Text, Clova Speech, TELEPHONY STT, fish-audio/fish-speech, FAISS, nlpai-lab/KURE-v1, PyTorch, Transformers, QLoRA, RunPod, AWS EC2, Docker, Docker Compose, Amazon RDS, MySQL, Amazon S3, Nginx, Gunicorn, Redis, Celery, Git, GitHub, Notion, Google Drive, Pytest, VS Code",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-FINAL-3Team
413,SK네트웍스 Family AI 캠프,17,최종프로젝트,사용자의 텍스트와 공간 이미지를 바탕으로 인테리어 무드에 맞는 오브제를 추천하는 LLM 기반 대화형 상품 추천 챗봇 프로젝트,"기존 인테리어 상품 탐색은 가격·브랜드 중심 필터와 과도한 상품 정보로 인해 사용자가 원하는 감성과 분위기에 맞는 상품을 찾기 어렵다는 문제를 가진다. MOODON은 사용자 공간 이미지 분석, 채팅 및 선호도 기반 추천, RAG 검색과 이미지 무드 추출을 결합해 맞춤형 인테리어 상품 추천을 제공한다. 프로젝트는 LLM을 활용한 자연스러운 추천 경험과 이미지 기반 무드 분석을 통해 사용자 맞춤 인테리어 아이디어를 제공하는 것을 목표로 한다.",,"Python, Django, Chroma, FAISS, Qwen2.5-14B-Korean, Qwen3-VL-8B-Instruct, Qwen2.5-VL-7B-Instruct, LangChain, LangGraph, text-embedding-3-large, AWS RDS, MySQL, Amazon S3, VS Code, Jupyter Notebook, HTML5, CSS, JavaScript, Docker, Docker Compose, RunPod, AWS EC2, Git, GitHub, Notion, Google Drive",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-FINAL-4Team
414,SK네트웍스 Family AI 캠프,17,최종프로젝트,AI 기술로 국제 무역 계약서와 관련 서류를 분석·작성·검토하고 계약 조건 및 잠재 리스크 판단을 지원하는 글로벌 AI 무역 비서 프로젝트입니다.,"국제 무역 문서 간 용어·조건 불일치, 인코텀즈 해석 오류, 규제 변화 반영의 어려움 등으로 인해 발생할 수 있는 계약 리스크와 업무 비효율을 해결하려는 프로젝트입니다. LLM, RAG, Agent를 활용해 무역 계약서를 분석하고 Offer, Sales Contract, CI 등 서류 간 일관성을 검증하며, 챗봇 기반으로 문서 초안 작성·수정·자문을 지원합니다. 프로젝트 목표는 무역 계약의 문서 생성부터 해석, 검토, 비교 과정을 AI와 함께 진행하여 업무 효율성과 정확성을 높이는 것입니다.","ICC 발간본 인코텀즈 2020 PDF, UNCITRAL CISG 원문 TXT, 산업통상부 해외 인증 정보 XLSX, 대한상공회의소 무역 클레임·분쟁 Q&A PDF, KOTRA 무역 사기 예방 및 대응 매뉴얼 PDF, 우리은행 제공 UCP 600 PDF","OpenAI Agents SDK, OpenAI Text-Embedding-3-Large, Qdrant, Django, HTML5, CSS, JavaScript, React, Docker, RunPod, AWS EC2, AWS S3, Amazon RDS, MySQL, Python, Chandra OCR, GitHub, Git, VS Code, Discord",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-FINAL-5Team
